landlord,building_name,address,description,space_type,floor_suite,size_sqft,rent,contact_role,contact_name,contact_email,contact_phone,source_url,scraped_at,neighborhood,lat,lng,image_url
Jack Resnick & Sons,485 Madison Avenue,485 Madison Avenue,NBI,Office,Partial 13th Floor – Suite 1301,7494,Upon request,Leasing,Adam S. Rappaport,arappaport@resnicknyc.com,,https://resnicknyc.com/commercial/availabilities/,2026-07-22T19:09:31Z,,40.758814,-73.974474,https://resnicknyc.com/wp-content/uploads/2019/09/DSC_4640-jpg.webp
Jack Resnick & Sons,485 Madison Avenue,485 Madison Avenue,Built Space Move-in Condition,Office,Entire 11th Floor,14101,Upon request,Leasing,Adam S. Rappaport,arappaport@resnicknyc.com,,https://resnicknyc.com/commercial/availabilities/,2026-07-22T19:09:31Z,,40.758814,-73.974474,https://resnicknyc.com/wp-content/uploads/2019/09/DSC_4640-jpg.webp
Jack Resnick & Sons,485 Madison Avenue,485 Madison Avenue,Built Space Will Provide NBI,Office,Entire 9th Floor,14101,Upon request,Leasing,Adam S. Rappaport,arappaport@resnicknyc.com,,https://resnicknyc.com/commercial/availabilities/,2026-07-22T19:09:31Z,,40.758814,-73.974474,https://resnicknyc.com/wp-content/uploads/2019/09/DSC_4640-jpg.webp
Jack Resnick & Sons,485 Madison Avenue,485 Madison Avenue,Above Standard Installation,Office,Partial 4th Floor,6014,Upon request,Leasing,Adam S. Rappaport,arappaport@resnicknyc.com,,https://resnicknyc.com/commercial/availabilities/,2026-07-22T19:09:31Z,,40.758814,-73.974474,https://resnicknyc.com/wp-content/uploads/2019/09/DSC_4640-jpg.webp
Jack Resnick & Sons,485 Madison Avenue,485 Madison Avenue,NBI,Office,Partial 3rd Floor,6637,Upon request,Leasing,Adam S. Rappaport,arappaport@resnicknyc.com,,https://resnicknyc.com/commercial/availabilities/,2026-07-22T19:09:31Z,,40.758814,-73.974474,https://resnicknyc.com/wp-content/uploads/2019/09/DSC_4640-jpg.webp
Jack Resnick & Sons,485 Madison Avenue,485 Madison Avenue,NBI,Office,Partial 2nd Floor,5485,Upon request,Leasing,Adam S. Rappaport,arappaport@resnicknyc.com,,https://resnicknyc.com/commercial/availabilities/,2026-07-22T19:09:31Z,,40.758814,-73.974474,https://resnicknyc.com/wp-content/uploads/2019/09/DSC_4640-jpg.webp
Jack Resnick & Sons,8 West 40th Street,8 West 40th Street,NBI ceiling heights – 11’2″,Office,Partial 18th Floor,2346,Upon request,Leasing,Brett S. Greenberg,bgreenberg@resnicknyc.com,,https://resnicknyc.com/commercial/availabilities/,2026-07-22T19:09:35Z,,40.752332,-73.982672,https://resnicknyc.com/wp-content/uploads/2019/08/8_west40th_exterior3.jpg
Jack Resnick & Sons,8 West 40th Street,8 West 40th Street,Built Space ceiling heights 11’3″ Two contiguous floors available,Office,Entire 10th Floor,6667,Upon request,Leasing,Brett S. Greenberg,bgreenberg@resnicknyc.com,,https://resnicknyc.com/commercial/availabilities/,2026-07-22T19:09:35Z,,40.752332,-73.982672,https://resnicknyc.com/wp-content/uploads/2019/08/8_west40th_exterior3.jpg
Jack Resnick & Sons,880 Third Avenue,880 Third Avenue,"– NBI – Direct Access to E, M & 6 lines – Convenient to Grand Central, Penn Station & Port Authority – Next door to The Hugh Food Hall 1-10 year term",Office,Entire 18th Floor,5061,Upon request,Leasing,Adam S. Rappaport,arappaport@resnicknyc.com,,https://resnicknyc.com/commercial/availabilities/,2026-07-22T19:09:38Z,,40.758027,-73.969562,https://resnicknyc.com/wp-content/uploads/2019/07/880_Third_avenue-exterior.jpg
Jack Resnick & Sons,880 Third Avenue,880 Third Avenue,"Full Floor Availability Direct Access to E, M & 6 subway lines Convenient to Grand Central, Penn Station & Port Authority Next door to The Hugh Food Hall",Office,Entire 8th Floor,9577,Upon request,Leasing,Adam S. Rappaport,arappaport@resnicknyc.com,,https://resnicknyc.com/commercial/availabilities/,2026-07-22T19:09:38Z,,40.758027,-73.969562,https://resnicknyc.com/wp-content/uploads/2019/07/880_Third_avenue-exterior.jpg
Jack Resnick & Sons,880 Third Avenue,880 Third Avenue,"Lease Pending Large Usable Terrace Direct Access to E, M & 6 lines Convenient to Grand Central, Penn Station & Port Authority Next door to The Hugh Food Hall",Office,Entire 7th Floor,9577,Upon request,Leasing,Adam S. Rappaport,arappaport@resnicknyc.com,,https://resnicknyc.com/commercial/availabilities/,2026-07-22T19:09:38Z,,40.758027,-73.969562,https://resnicknyc.com/wp-content/uploads/2019/07/880_Third_avenue-exterior.jpg
Jack Resnick & Sons,880 Third Avenue,880 Third Avenue,"New Pre-built Direct Access to E, M & 6 lines Convenient to Grand Central, Penn Station & Port Authority Next door to The Hugh Food Hall",Office,Partial 4th Floor,8511,Upon request,Leasing,Adam S. Rappaport,arappaport@resnicknyc.com,,https://resnicknyc.com/commercial/availabilities/,2026-07-22T19:09:38Z,,40.758027,-73.969562,https://resnicknyc.com/wp-content/uploads/2019/07/880_Third_avenue-exterior.jpg
Jack Resnick & Sons,255 Greenwich Street,255 Greenwich Street,Built Space w/ above standard finishes Fully Furnished & Wired 13’ ceilings Heavy floor loads Will divide 10k – 51K Recently renovated lobby Full-Service Garage Convenient TriBeCa location near all subway lines 24/7 attended lobby; electronic access via turnstiles; web-based visitor -pass system,Office,Entire 4th. Floor,51593,Upon request,Leasing,Adam S. Rappaport,arappaport@resnicknyc.com,,https://resnicknyc.com/commercial/availabilities/,2026-07-22T19:09:42Z,,40.714375,-74.010857,https://resnicknyc.com/wp-content/uploads/2019/07/255_Greenwich_Avenue_exterior.jpg
Jack Resnick & Sons,110 East 59th Street,110 East 59th Street,20’ 4” of frontage on the 59 th Street adjacent to: 110 E. 59 th Lobby 16’ceiling height slab to slab Direct Meter to Con-Edison (400 amps 120/208 volts three phase) Gas service is available based upon a demonstrated need Full-service parking garage,Retail,Partial Ground Floor Retail,2300,Upon request,Leasing,Brett S. Greenberg,bgreenberg@resnicknyc.com,,https://resnicknyc.com/retail/availabilities/,2026-07-22T19:09:43Z,,40.762399,-73.969307,https://resnicknyc.com/wp-content/uploads/2019/07/110_east59th_exterior2.jpg
Jack Resnick & Sons,110 East 59th Street,110 East 59th Street,"Ground Floor Retail: 1, 575 SF – Mezzanine: 931 SF Frontage: 20 feet of frontage on 58 th Street adjacent to 111 E. 58 th Street Lobby. Ceiling Heights: Approx. 16′ on Ground Level – Approx. 11′ on Mezzanine (storage) 75-gallon natural gas fired domestic water heater located on 2nd floor set back ELECTRIC: Direct Meter to Con Edison (400 amps 120/208 volts three phase) COOKING EXHAUST: Gas service with Con Edison, Direct-metered PARKING: On-Site parking garage located adjacent to 111 E. 58th Street",Retail,Partial Ground Floor Retail,1575,Upon request,Leasing,Brett S. Greenberg,bgreenberg@resnicknyc.com,,https://resnicknyc.com/retail/availabilities/,2026-07-22T19:09:43Z,,40.762399,-73.969307,https://resnicknyc.com/wp-content/uploads/2019/07/110_east59th_exterior2.jpg
Jack Resnick & Sons,722 Lexington Avenue,722 Lexington Avenue,"White Box Ground : 7,196 SF, 17’10” ceiling height Second: 7,833 SF, 14’2” ceiling height Cellar: 2,981 SF, 9’2” ceiling height Sub Cellar: 2,842 SF, 18’4” ceiling height Elevator & Escalator Column Spacing: 23′ x 23′ 160’ wrap-around frontage High profile corner New two-story glass store front in design",Retail,Ground Retail,20852,Upon request,Leasing,Brett S. Greenberg,bgreenberg@resnicknyc.com,,https://resnicknyc.com/retail/availabilities/,2026-07-22T19:09:47Z,,40.761917,-73.968794,https://resnicknyc.com/wp-content/uploads/2021/10/722lex-cam02-optA3-scaled.webp
Jack Resnick & Sons,250 Hudson Street,250 Hudson Street,"Dramatic corner with double-height ceilings Polished Concrete Floors Food use considered Can be divide to 1,713 and 1,387 sf",Retail,Partial Ground Retail,3100,Upon request,Leasing,Adam S. Rappaport,arappaport@resnicknyc.com,,https://resnicknyc.com/retail/availabilities/,2026-07-22T19:09:49Z,,40.724852,-74.007331,https://resnicknyc.com/wp-content/uploads/2019/07/250_Hudson_Street_exterior.jpg
Jack Resnick & Sons,200 Chambers Street,200 Chambers Street,● 43’ Frontage ● 19’3” ceilings ● Full-Service Garage ● Located in the Heart of TriBeCa ●Easy walk to World Trade Center,Retail,,2563,Upon request,Leasing,Brett S. Greenberg,bgreenberg@resnicknyc.com,,https://resnicknyc.com/retail/availabilities/,2026-07-22T19:09:50Z,,40.716572,-74.012595,https://resnicknyc.com/wp-content/uploads/2019/08/20250130_200ChambersSt-1083-scaled.webp
